typeCode,freqCode,refYear,refMonth,period,reporterDesc,flowDesc,partnerDesc,cmdCode,netWgt,primaryValue
C,A,2020,52,2020,Albania,Export,World,121190,11187975.92,39278404.17
C,A,2020,52,2020,Angola,Export,World,121190,106.03,653.365
C,A,2020,52,2020,Azerbaijan,Export,World,121190,4288809,1455130.53
C,A,2020,52,2020,Argentina,Export,World,121190,539168.25,1270718.83
C,A,2020,52,2020,Australia,Export,World,121190,947672.76,16598310.46
C,A,2020,52,2020,Austria,Export,World,121190,9610282.452,55401014.11
C,A,2020,52,2020,Bahrain,Export,World,121190,43582.21,2289709.89
C,A,2020,52,2020,Armenia,Export,World,121190,203366.37,496406.06
C,A,2020,52,2020,Barbados,Export,World,121190,26,3388
C,A,2020,52,2020,Belgium,Export,World,121190,1374440.77,7883547.791
C,A,2020,52,2020,Bhutan,Export,World,121190,,1338310.716
C,A,2020,52,2020,Bolivia (Plurinational State of),Export,World,121190,606978.11,2026775.52
C,A,2020,52,2020,Bosnia Herzegovina,Export,World,121190,680720.72,5340167.2
C,A,2020,52,2020,Botswana,Export,World,121190,33542,159428.846
C,A,2020,52,2020,Brazil,Export,World,121190,1471878.842,9480849
C,A,2020,52,2020,Belize,Export,World,121190,114,459.99
C,A,2020,52,2020,Bulgaria,Export,World,121190,7911611,32253903.38
C,A,2020,52,2020,Myanmar,Export,World,121190,30175076.82,41019296.59
C,A,2020,52,2020,Belarus,Export,World,121190,884663,2684000
C,A,2020,52,2020,Cambodia,Export,World,121190,2498,35495.55
C,A,2020,52,2020,Cameroon,Export,World,121190,858528,906221.38
C,A,2020,52,2020,Canada,Export,World,121190,688632.217,41902296.23
C,A,2020,52,2020,Sri Lanka,Export,World,121190,1197767.82,6610769.318
C,A,2020,52,2020,Chile,Export,World,121190,7969893.92,30172155.19
C,A,2020,52,2020,China,Export,World,121190,135288879.7,826058251
C,A,2020,52,2020,Colombia,Export,World,121190,8071463.45,30463128.7
C,A,2020,52,2020,Dem. Rep. of the Congo,Export,World,121190,8809386,16028035.06
C,A,2020,52,2020,Costa Rica,Export,World,121190,137709,1530732.58
C,A,2020,52,2020,Croatia,Export,World,121190,4646202.993,22734567
C,A,2020,52,2020,Cuba,Export,World,121190,3321.74,9943.98
C,A,2020,52,2020,Cyprus,Export,World,121190,0,308097.091
C,A,2020,52,2020,Czechia,Export,World,121190,2087674.403,18263823
C,A,2020,52,2020,Benin,Export,World,121190,82930,16634.257
C,A,2020,52,2020,Denmark,Export,World,121190,179597,2577444.062
C,A,2020,52,2020,Dominican Rep.,Export,World,121190,1538843.62,2275981.3
C,A,2020,52,2020,Ecuador,Export,World,121190,337691.23,2328800.747
C,A,2020,52,2020,El Salvador,Export,World,121190,31901.97,371392.96
C,A,2020,52,2020,Ethiopia,Export,World,121190,642796.83,2720322.72
C,A,2020,52,2020,Estonia,Export,World,121190,56814.135,1019763.75
C,A,2020,52,2020,Fiji,Export,World,121190,460112.246,17642276.44
C,A,2020,52,2020,Finland,Export,World,121190,4067.927,163817.177
C,A,2020,52,2020,France,Export,World,121190,6438969.272,60503352.27
C,A,2020,52,2020,French Polynesia,Export,World,121190,2661,71155.918
C,A,2020,52,2020,Georgia,Export,World,121190,1205250.04,2598137.69
C,A,2020,52,2020,State of Palestine,Export,World,121190,255009.879,1426692.02
C,A,2020,52,2020,Germany,Export,World,121190,27247561.07,216538127.6
C,A,2020,52,2020,Kiribati,Export,World,121190,90,1858.115
C,A,2020,52,2020,Greece,Export,World,121190,1257891,6443586.799
C,A,2020,52,2020,Guatemala,Export,World,121190,0,1612527
C,A,2020,52,2020,Guyana,Export,World,121190,22720.998,37608.408
C,A,2020,52,2020,Honduras,Export,World,121190,90937.8,510111.18
C,A,2020,52,2020,"China, Hong Kong SAR",Export,World,121190,3735822.811,37035054.61
C,A,2020,52,2020,Hungary,Export,World,121190,1378793.328,5951464
C,A,2020,52,2020,Iceland,Export,World,121190,131,756.452
C,A,2020,52,2020,Indonesia,Export,World,121190,11000301.71,41568900.17
C,A,2020,52,2020,Iran,Export,World,121190,2415071,4412103
C,A,2020,52,2020,Ireland,Export,World,121190,61622.76,839787.045
C,A,2020,52,2020,Israel,Export,World,121190,199974.762,1310000
C,A,2020,52,2020,Italy,Export,World,121190,3300583,30316884.67
C,A,2020,52,2020,Côte d'Ivoire,Export,World,121190,686121,2567136.31
C,A,2020,52,2020,Jamaica,Export,World,121190,242912.76,1046576.38
C,A,2020,52,2020,Japan,Export,World,121190,57551,1454519.858
C,A,2020,52,2020,Kazakhstan,Export,World,121190,4023766.9,1593441.29
C,A,2020,52,2020,Jordan,Export,World,121190,0,898335.4
C,A,2020,52,2020,Kenya,Export,World,121190,596410,3207938.869
C,A,2020,52,2020,Rep. of Korea,Export,World,121190,319221.671,6874502
C,A,2020,52,2020,Kuwait,Export,World,121190,17589.4,188676
C,A,2020,52,2020,Kyrgyzstan,Export,World,121190,149473.271,394958
C,A,2020,52,2020,Lao People's Dem. Rep.,Export,World,121190,3360676.3,2369197.17
C,A,2020,52,2020,Lebanon,Export,World,121190,1141732,982780
C,A,2020,52,2020,Lesotho,Export,World,121190,808108.369,2731415.121
C,A,2020,52,2020,Latvia,Export,World,121190,2413307.173,15955492.66
C,A,2020,52,2020,Lithuania,Export,World,121190,534436.915,4295955
C,A,2020,52,2020,Luxembourg,Export,World,121190,266179.876,20308361.58
C,A,2020,52,2020,Madagascar,Export,World,121190,2046055.47,4752882.7
C,A,2020,52,2020,Malawi,Export,World,121190,16955.84,14650.084
C,A,2020,52,2020,Malaysia,Export,World,121190,831200.92,4942132.305
C,A,2020,52,2020,Mauritius,Export,World,121190,21562,48920.411
C,A,2020,52,2020,Mexico,Export,World,121190,13895512.24,77740582
C,A,2020,52,2020,"Other Asia, nes",Export,World,121190,713093.795,8278249.639
C,A,2020,52,2020,Mongolia,Export,World,121190,117860,885981.09
C,A,2020,52,2020,Rep. of Moldova,Export,World,121190,61786.017,287499
C,A,2020,52,2020,Montenegro,Export,World,121190,195321.1,682283.439
C,A,2020,52,2020,Montserrat,Export,World,121190,3,25.926
C,A,2020,52,2020,Morocco,Export,World,121190,22920405.08,54579490.25
C,A,2020,52,2020,Mozambique,Export,World,121190,11926,66978.48
C,A,2020,52,2020,Oman,Export,World,121190,62037,698561.706
C,A,2020,52,2020,Namibia,Export,World,121190,758211.81,3726277.846
C,A,2020,52,2020,Nepal,Export,World,121190,4728084,14952499.31
C,A,2020,52,2020,Netherlands,Export,World,121190,4259812.146,33415926.27
C,A,2020,52,2020,Curaçao,Export,World,121190,2600,2513.965
C,A,2020,52,2020,New Zealand,Export,World,121190,101587.373,2110130.296
C,A,2020,52,2020,Nicaragua,Export,World,121190,271352.19,552464.89
C,A,2020,52,2020,Niger,Export,World,121190,48000,10884.56
C,A,2020,52,2020,Nigeria,Export,World,121190,27336565,4574970.004
C,A,2020,52,2020,Norway,Export,World,121190,53178,476222.328
C,A,2020,52,2020,Pakistan,Export,World,121190,9944507,11094173.28
C,A,2020,52,2020,Panama,Export,World,121190,13708.009,42377
C,A,2020,52,2020,Papua New Guinea,Export,World,121190,255423.4,255821.068
C,A,2020,52,2020,Paraguay,Export,World,121190,3033454.387,6355166
C,A,2020,52,2020,Peru,Export,World,121190,8394321.01,23170434.69
C,A,2020,52,2020,Philippines,Export,World,121190,32018.781,179134
C,A,2020,52,2020,Poland,Export,World,121190,18549869.99,96887526
C,A,2020,52,2020,Portugal,Export,World,121190,901100.541,20504453.59
C,A,2020,52,2020,Timor-Leste,Export,World,121190,1,1.05
C,A,2020,52,2020,Romania,Export,World,121190,431938.494,4134857.61
C,A,2020,52,2020,Russian Federation,Export,World,121190,3404671.008,12767351.76
C,A,2020,52,2020,Rwanda,Export,World,121190,4693,8763.44
C,A,2020,52,2020,Saint Lucia,Export,World,121190,1393.11,4070.82
C,A,2020,52,2020,Saint Vincent and the Grenadines,Export,World,121190,90.17,779.54
C,A,2020,52,2020,Saudi Arabia,Export,World,121190,645465,2092474.881
C,A,2020,52,2020,Senegal,Export,World,121190,188524,597537.605
C,A,2020,52,2020,Serbia,Export,World,121190,1997859,8198992
C,A,2020,52,2020,India,Export,World,121190,110487258.2,347313360.5
C,A,2020,52,2020,Singapore,Export,World,121190,1706359.417,50518092.42
C,A,2020,52,2020,Slovakia,Export,World,121190,1357350.96,3341517.242
C,A,2020,52,2020,Viet Nam,Export,World,121190,7153612.215,46862073.63
C,A,2020,52,2020,Slovenia,Export,World,121190,251807.62,2672228.68
C,A,2020,52,2020,South Africa,Export,World,121190,732656.84,5210872.665
C,A,2020,52,2020,Zimbabwe,Export,World,121190,274114.88,1081201.22
C,A,2020,52,2020,Spain,Export,World,121190,0,103153098.9
C,A,2020,52,2020,Eswatini,Export,World,121190,11854,2090.76
C,A,2020,52,2020,Sweden,Export,World,121190,312123.155,6813778.518
C,A,2020,52,2020,Switzerland,Export,World,121190,368190.305,19289191.5
C,A,2020,52,2020,Tajikistan,Export,World,121190,10575,1946
C,A,2020,52,2020,Thailand,Export,World,121190,11503627.66,14859946.07
C,A,2020,52,2020,Togo,Export,World,121190,151188,23708.015
C,A,2020,52,2020,Tonga,Export,World,121190,75502.88,1244423.017
C,A,2020,52,2020,Trinidad and Tobago,Export,World,121190,2158.942,11132.046
C,A,2020,52,2020,United Arab Emirates,Export,World,121190,5502712.79,34120595.43
C,A,2020,52,2020,Tunisia,Export,World,121190,4516554,4158382.82
C,A,2020,52,2020,Türkiye,Export,World,121190,7362817,26050596
C,A,2020,52,2020,Uganda,Export,World,121190,277504,543639
C,A,2020,52,2020,Ukraine,Export,World,121190,6052192.55,17959935.21
C,A,2020,52,2020,North Macedonia,Export,World,121190,597028,2489045.77
C,A,2020,52,2020,Egypt,Export,World,121190,25836557.6,144546598.2
C,A,2020,52,2020,United Kingdom,Export,World,121190,1846206,33850712.85
C,A,2020,52,2020,United Rep. of Tanzania,Export,World,121190,1439651.5,1090257.79
C,A,2020,52,2020,USA,Export,World,121190,16761701,136944349
C,A,2020,52,2020,Burkina Faso,Export,World,121190,21885,117298.279
C,A,2020,52,2020,Uruguay,Export,World,121190,18812.51,2619854
C,A,2020,52,2020,Uzbekistan,Export,World,121190,7442684.55,6728259.98
C,A,2020,52,2020,Zambia,Export,World,121190,136018.686,760977.473
C,A,2021,52,2021,Albania,Export,World,121190,10050568,34362757.63
C,A,2021,52,2021,Angola,Export,World,121190,804.407,955.04
C,A,2021,52,2021,Azerbaijan,Export,World,121190,6420060.3,1828681.38
C,A,2021,52,2021,Argentina,Export,World,121190,347730.34,901468.21
C,A,2021,52,2021,Australia,Export,World,121190,2002226.097,28170629.82
C,A,2021,52,2021,Austria,Export,World,121190,6945745,51506931.86
C,A,2021,52,2021,Bahrain,Export,World,121190,44319.7,1991519.994
C,A,2021,52,2021,Armenia,Export,World,121190,863850.09,1436729.22
C,A,2021,52,2021,Barbados,Export,World,121190,104,1909
C,A,2021,52,2021,Belgium,Export,World,121190,875549.33,10723481.74
C,A,2021,52,2021,Bolivia (Plurinational State of),Export,World,121190,616179.51,2282487.81
C,A,2021,52,2021,Bosnia Herzegovina,Export,World,121190,614252.99,4627685.48
C,A,2021,52,2021,Botswana,Export,World,121190,36662.5,210912.644
C,A,2021,52,2021,Brazil,Export,World,121190,1559941.284,10031074
C,A,2021,52,2021,Brunei Darussalam,Export,World,121190,10,7.44
C,A,2021,52,2021,Bulgaria,Export,World,121190,7769259,33861281.77
C,A,2021,52,2021,Myanmar,Export,World,121190,16833673.95,19538590.99
C,A,2021,52,2021,Burundi,Export,World,121190,28660.3,52903.513
C,A,2021,52,2021,Belarus,Export,World,121190,829806,2121600
C,A,2021,52,2021,Cambodia,Export,World,121190,3344,14397.22
C,A,2021,52,2021,Cameroon,Export,World,121190,801048.27,528632.09
C,A,2021,52,2021,Canada,Export,World,121190,942092.48,84375888.29
C,A,2021,52,2021,Sri Lanka,Export,World,121190,1324949.76,10117052.72
C,A,2021,52,2021,Chile,Export,World,121190,7886187,37887728
C,A,2021,52,2021,China,Export,World,121190,130965812.7,863913660
C,A,2021,52,2021,Colombia,Export,World,121190,0,34818917.27
C,A,2021,52,2021,Dem. Rep. of the Congo,Export,World,121190,9992680,18128139.93
C,A,2021,52,2021,Costa Rica,Export,World,121190,133624.33,1614138.48
C,A,2021,52,2021,Croatia,Export,World,121190,6032555.01,29656126
C,A,2021,52,2021,Cuba,Export,World,121190,1572.4,4164.89
C,A,2021,52,2021,Cyprus,Export,World,121190,20513,107293.47
C,A,2021,52,2021,Czechia,Export,World,121190,3522830.938,26920567
C,A,2021,52,2021,Benin,Export,World,121190,47402,18574.793
C,A,2021,52,2021,Denmark,Export,World,121190,2227996,14814642.86
C,A,2021,52,2021,Dominica,Export,World,121190,1.548,10
C,A,2021,52,2021,Dominican Rep.,Export,World,121190,1384050.2,1956810.686
C,A,2021,52,2021,Ecuador,Export,World,121190,333811.77,2376283.532
C,A,2021,52,2021,El Salvador,Export,World,121190,20073.12,317410.25
C,A,2021,52,2021,Ethiopia,Export,World,121190,768623.54,3537914.68
C,A,2021,52,2021,Estonia,Export,World,121190,62461.445,1654645.7
C,A,2021,52,2021,Fiji,Export,World,121190,519465.81,19082748.17
C,A,2021,52,2021,Finland,Export,World,121190,4040.221,113188.248
C,A,2021,52,2021,France,Export,World,121190,6654025.333,67313720.32
C,A,2021,52,2021,French Polynesia,Export,World,121190,1309.825,62864.515
C,A,2021,52,2021,Djibouti,Export,World,121190,25300,29721.876
C,A,2021,52,2021,Georgia,Export,World,121190,1019990.36,2291832.69
C,A,2021,52,2021,State of Palestine,Export,World,121190,237387.339,1533560.34
C,A,2021,52,2021,Germany,Export,World,121190,27943216,236404696.6
C,A,2021,52,2021,Ghana,Export,World,121190,267370.763,211928.875
C,A,2021,52,2021,Greece,Export,World,121190,1680295.065,8670553.304
C,A,2021,52,2021,Grenada,Export,World,121190,11,45.185
C,A,2021,52,2021,Guatemala,Export,World,121190,1833700,2372299
C,A,2021,52,2021,Guyana,Export,World,121190,29293.78,17463.106
C,A,2021,52,2021,Honduras,Export,World,121190,37454.27,351782.44
