typeCode,freqCode,refYear,refMonth,period,reporterDesc,flowDesc,partnerDesc,cmdCode,netWgt,primaryValue
C,A,2020,52,2020,Argentina,Export,World,100829,3340450,1213536.06
C,A,2020,52,2020,Australia,Export,World,100829,2659340,1565070.669
C,A,2020,52,2020,Austria,Export,World,100829,7368247,5676200.346
C,A,2020,52,2020,Belgium,Export,World,100829,1592852.98,2566487.056
C,A,2020,52,2020,Brazil,Export,World,100829,358436,127436
C,A,2020,52,2020,Brunei Darussalam,Export,World,100829,20,104.31
C,A,2020,52,2020,Bulgaria,Export,World,100829,731435,337377.934
C,A,2020,52,2020,Myanmar,Export,World,100829,12006850,4241150
C,A,2020,52,2020,Belarus,Export,World,100829,778200,186400
C,A,2020,52,2020,Cameroon,Export,World,100829,400,348.54
C,A,2020,52,2020,Canada,Export,World,100829,4295392,1927185.498
C,A,2020,52,2020,Sri Lanka,Export,World,100829,210,696.373
C,A,2020,52,2020,China,Export,World,100829,5300030.307,6410330
C,A,2020,52,2020,Croatia,Export,World,100829,10394.49,29452
C,A,2020,52,2020,Czechia,Export,World,100829,2483552,1997998
C,A,2020,52,2020,Denmark,Export,World,100829,49421,44607.34
C,A,2020,52,2020,El Salvador,Export,World,100829,2514,1800
C,A,2020,52,2020,Ethiopia,Export,World,100829,21000,27520.72
C,A,2020,52,2020,Estonia,Export,World,100829,1328,2242.03
C,A,2020,52,2020,Finland,Export,World,100829,274,1459.726
C,A,2020,52,2020,France,Export,World,100829,22964650,10357517.85
C,A,2020,52,2020,Germany,Export,World,100829,3954563.288,3286359.974
C,A,2020,52,2020,Honduras,Export,World,100829,4536,3476.17
C,A,2020,52,2020,"China, Hong Kong SAR",Export,World,100829,16351,40457.098
C,A,2020,52,2020,Hungary,Export,World,100829,387593,187658
C,A,2020,52,2020,Iran,Export,World,100829,106467,57047
C,A,2020,52,2020,Ireland,Export,World,100829,3.489,1.142
C,A,2020,52,2020,Italy,Export,World,100829,427787,683861.3
C,A,2020,52,2020,Côte d'Ivoire,Export,World,100829,3355,3162.75
C,A,2020,52,2020,Kazakhstan,Export,World,100829,2607640,922695.8
C,A,2020,52,2020,Rep. of Korea,Export,World,100829,3100.171,10804
C,A,2020,52,2020,Latvia,Export,World,100829,22111,19206.027
C,A,2020,52,2020,Lithuania,Export,World,100829,352583,180638
