typeCode,freqCode,refYear,refMonth,period,reporterDesc,flowDesc,partnerDesc,cmdCode,netWgt,primaryValue
C,A,2020,52,2020,Australia,Export,World,91030,24904.83,2118835.864
C,A,2020,52,2020,Austria,Export,World,91030,293873,2846203.531
C,A,2020,52,2020,Bahrain,Export,World,91030,41475.04,118076.42
C,A,2020,52,2020,Armenia,Export,World,91030,86.92,974.63
C,A,2020,52,2020,Belgium,Export,World,91030,384423.89,1255614.966
C,A,2020,52,2020,Bhutan,Export,World,91030,260.76,7295.047
C,A,2020,52,2020,Bolivia (Plurinational State of),Export,World,91030,28428,12200
C,A,2020,52,2020,Bosnia Herzegovina,Export,World,91030,1061,10934.06
C,A,2020,52,2020,Brazil,Export,World,91030,25395.985,48190
C,A,2020,52,2020,Belize,Export,World,91030,33736,90042.845
C,A,2020,52,2020,Bulgaria,Export,World,91030,23862,85685.569
C,A,2020,52,2020,Myanmar,Export,World,91030,16963204.18,11686493.59
C,A,2020,52,2020,Belarus,Export,World,91030,8233,10000
C,A,2020,52,2020,Cambodia,Export,World,91030,491231.1,1360196.26
C,A,2020,52,2020,Cameroon,Export,World,91030,100,52.28
C,A,2020,52,2020,Canada,Export,World,91030,52253,159286.86
C,A,2020,52,2020,Sri Lanka,Export,World,91030,84166.97,554120.935
C,A,2020,52,2020,Chile,Export,World,91030,58860.4,169996.5
C,A,2020,52,2020,China,Export,World,91030,1250950,2785320
C,A,2020,52,2020,Colombia,Export,World,91030,665.16,7722.36
C,A,2020,52,2020,Costa Rica,Export,World,91030,289689,372556.1
C,A,2020,52,2020,Croatia,Export,World,91030,18968.015,158928
C,A,2020,52,2020,Cuba,Export,World,91030,7832,8441.01
C,A,2020,52,2020,Cyprus,Export,World,91030,10,220.444
C,A,2020,52,2020,Czechia,Export,World,91030,48348.699,484077
C,A,2020,52,2020,Denmark,Export,World,91030,69481,503714.828
C,A,2020,52,2020,Dominica,Export,World,91030,18702,45468.473
C,A,2020,52,2020,Dominican Rep.,Export,World,91030,40392.28,185143.47
C,A,2020,52,2020,El Salvador,Export,World,91030,50989.43,147151.76
C,A,2020,52,2020,Ethiopia,Export,World,91030,6741439.5,3915283.56
C,A,2020,52,2020,Estonia,Export,World,91030,12553.882,144566.57
C,A,2020,52,2020,Fiji,Export,World,91030,1983235.26,6590554.135
C,A,2020,52,2020,Finland,Export,World,91030,1608.773,14268.312
C,A,2020,52,2020,France,Export,World,91030,370836.234,2529319.941
C,A,2020,52,2020,French Polynesia,Export,World,91030,10.26,424.637
C,A,2020,52,2020,Georgia,Export,World,91030,587.1,2391.17
C,A,2020,52,2020,State of Palestine,Export,World,91030,81944.516,117100.66
C,A,2020,52,2020,Germany,Export,World,91030,1538073.556,6938488.466
C,A,2020,52,2020,Greece,Export,World,91030,6934,21452.725
C,A,2020,52,2020,Guatemala,Export,World,91030,45714,132590
C,A,2020,52,2020,Guyana,Export,World,91030,105.84,597.304
C,A,2020,52,2020,Honduras,Export,World,91030,2052.23,5631
C,A,2020,52,2020,"China, Hong Kong SAR",Export,World,91030,3164,17001.817
C,A,2020,52,2020,Hungary,Export,World,91030,32581.834,108263
C,A,2020,52,2020,Iceland,Export,World,91030,1,9.629
C,A,2020,52,2020,Indonesia,Export,World,91030,9909072.356,9462677.299
C,A,2020,52,2020,Iran,Export,World,91030,139661,179922
C,A,2020,52,2020,Ireland,Export,World,91030,423,2467.143
C,A,2020,52,2020,Israel,Export,World,91030,53957.877,92000
C,A,2020,52,2020,Italy,Export,World,91030,61686,275843.761
C,A,2020,52,2020,Côte d'Ivoire,Export,World,91030,11412,26080.54
C,A,2020,52,2020,Jamaica,Export,World,91030,914572.5,1874624.39
C,A,2020,52,2020,Japan,Export,World,91030,21403,2425071.677
C,A,2020,52,2020,Kazakhstan,Export,World,91030,221,514.08
C,A,2020,52,2020,Jordan,Export,World,91030,0,276385.974
C,A,2020,52,2020,Kenya,Export,World,91030,13722,74928.099
C,A,2020,52,2020,Rep. of Korea,Export,World,91030,5198.4,101567
C,A,2020,52,2020,Kuwait,Export,World,91030,7376,19872
C,A,2020,52,2020,Kyrgyzstan,Export,World,91030,42,192
C,A,2020,52,2020,Lao People's Dem. Rep.,Export,World,91030,1023000,511500
C,A,2020,52,2020,Lebanon,Export,World,91030,2844,19003
C,A,2020,52,2020,Latvia,Export,World,91030,118625.753,211964.183
C,A,2020,52,2020,Lithuania,Export,World,91030,16143.63,61365
C,A,2020,52,2020,Luxembourg,Export,World,91030,144.363,2683.738
C,A,2020,52,2020,Madagascar,Export,World,91030,335102.4,670775.137
C,A,2020,52,2020,Malaysia,Export,World,91030,359488.4,893025.795
C,A,2020,52,2020,Maldives,Export,World,91030,120.9,608.904
C,A,2020,52,2020,Mauritius,Export,World,91030,124,658.579
C,A,2020,52,2020,Mexico,Export,World,91030,519.236,742
C,A,2020,52,2020,"Other Asia, nes",Export,World,91030,1848,23552.08
C,A,2020,52,2020,Morocco,Export,World,91030,66991.16,101996.689
C,A,2020,52,2020,Oman,Export,World,91030,204074,200501.933
C,A,2020,52,2020,Netherlands,Export,World,91030,3803464,13458892.95
C,A,2020,52,2020,New Zealand,Export,World,91030,9400.818,13433.992
C,A,2020,52,2020,Nicaragua,Export,World,91030,117626.16,202422.33
C,A,2020,52,2020,Niger,Export,World,91030,9000,868.749
C,A,2020,52,2020,Nigeria,Export,World,91030,522306,611323.91
C,A,2020,52,2020,Pakistan,Export,World,91030,277406,605957.398
C,A,2020,52,2020,Panama,Export,World,91030,234.426,335
C,A,2020,52,2020,Peru,Export,World,91030,3470028.34,6083204.58
C,A,2020,52,2020,Philippines,Export,World,91030,1132.941,1619
C,A,2020,52,2020,Poland,Export,World,91030,250800.796,1185220
C,A,2020,52,2020,Portugal,Export,World,91030,14314.87,103975.244
C,A,2020,52,2020,Romania,Export,World,91030,11020.327,91165.98
C,A,2020,52,2020,Russian Federation,Export,World,91030,142374.052,370069.91
C,A,2020,52,2020,Saint Lucia,Export,World,91030,4023.882,7219.15
C,A,2020,52,2020,Saint Vincent and the Grenadines,Export,World,91030,19547,40859.94
