typeCode,freqCode,refYear,refMonth,period,reporterDesc,flowDesc,partnerDesc,cmdCode,cmdDesc,qtyUnitAbbr,qty,netWgt,primaryValue
C,M,2022,1,202201,India,Export,World,100829,"Cereals; millet, other than seed",kg,4398110,4398110,1476491.188
C,M,2022,1,202201,India,Export,Algeria,100829,"Cereals; millet, other than seed",kg,27000,27000,14620.887
C,M,2022,1,202201,India,Export,Angola,100829,"Cereals; millet, other than seed",kg,200,200,189.299
C,M,2022,1,202201,India,Export,Bahrain,100829,"Cereals; millet, other than seed",kg,97805,97805,32737.056
C,M,2022,1,202201,India,Export,Belgium,100829,"Cereals; millet, other than seed",kg,240,240,463.328
C,M,2022,1,202201,India,Export,Canada,100829,"Cereals; millet, other than seed",kg,32774,32774,25934.219
C,M,2022,1,202201,India,Export,Dem. Rep. of the Congo,100829,"Cereals; millet, other than seed",kg,30,30,33.392
C,M,2022,1,202201,India,Export,Fiji,100829,"Cereals; millet, other than seed",kg,1000,1000,1503.7
C,M,2022,1,202201,India,Export,"China, Hong Kong SAR",100829,"Cereals; millet, other than seed",kg,158,158,181.159
C,M,2022,1,202201,India,Export,Hungary,100829,"Cereals; millet, other than seed",kg,21000,21000,14492.906
C,M,2022,1,202201,India,Export,Japan,100829,"Cereals; millet, other than seed",kg,64000,64000,33750.752
C,M,2022,1,202201,India,Export,Kenya,100829,"Cereals; millet, other than seed",kg,1310,1310,490.353
C,M,2022,1,202201,India,Export,Rep. of Korea,100829,"Cereals; millet, other than seed",kg,21000,21000,10493.032
C,M,2022,1,202201,India,Export,Kuwait,100829,"Cereals; millet, other than seed",kg,175500,175500,59652.022
C,M,2022,1,202201,India,Export,Libya,100829,"Cereals; millet, other than seed",kg,415000,415000,165819.161
C,M,2022,1,202201,India,Export,Maldives,100829,"Cereals; millet, other than seed",kg,13000,13000,7968.598
C,M,2022,1,202201,India,Export,"Other Asia, nes",100829,"Cereals; millet, other than seed",kg,30000,30000,14624.473
C,M,2022,1,202201,India,Export,Morocco,100829,"Cereals; millet, other than seed",kg,240000,240000,84276.448
C,M,2022,1,202201,India,Export,Oman,100829,"Cereals; millet, other than seed",kg,335080,335080,97839.89
C,M,2022,1,202201,India,Export,Nepal,100829,"Cereals; millet, other than seed",kg,106390,106390,30802.184
C,M,2022,1,202201,India,Export,New Zealand,100829,"Cereals; millet, other than seed",kg,1252,1252,1381.387
C,M,2022,1,202201,India,Export,Nigeria,100829,"Cereals; millet, other than seed",kg,90,90,51.485
C,M,2022,1,202201,India,Export,Qatar,100829,"Cereals; millet, other than seed",kg,223372,223372,70394.059
C,M,2022,1,202201,India,Export,Saudi Arabia,100829,"Cereals; millet, other than seed",kg,534000,534000,167684.253
C,M,2022,1,202201,India,Export,Singapore,100829,"Cereals; millet, other than seed",kg,942,942,867.326
C,M,2022,1,202201,India,Export,South Africa,100829,"Cereals; millet, other than seed",kg,24186,24186,12005.181
C,M,2022,1,202201,India,Export,United Arab Emirates,100829,"Cereals; millet, other than seed",kg,1357738,1357738,392539.157
C,M,2022,1,202201,India,Export,Tunisia,100829,"Cereals; millet, other than seed",kg,476000,476000,138281.213
C,M,2022,1,202201,India,Export,United Kingdom,100829,"Cereals; millet, other than seed",kg,138155,138155,76461.943
C,M,2022,1,202201,India,Export,USA,100829,"Cereals; millet, other than seed",kg,888,888,771.085
