typeCode,freqCode,refYear,refMonth,period,reporterDesc,flowDesc,partnerDesc,cmdCode,qtyUnitAbbr,qty,netWgt,primaryValue
C,M,2020,1,202001,India,Export,World,121190,kg,7795832.857,7795832.857,22785566.47
C,M,2020,1,202001,India,Export,Afghanistan,121190,kg,268779,268779,1039311.022
C,M,2020,1,202001,India,Export,Algeria,121190,kg,16000,16000,14885.25
C,M,2020,1,202001,India,Export,Angola,121190,kg,120,120,364.811
C,M,2020,1,202001,India,Export,Argentina,121190,kg,11475,11475,47616.828
C,M,2020,1,202001,India,Export,Australia,121190,kg,78739,78739,302672.024
C,M,2020,1,202001,India,Export,Austria,121190,kg,59000,59000,213752.926
C,M,2020,1,202001,India,Export,Bahrain,121190,kg,2400,2400,2525.762
C,M,2020,1,202001,India,Export,Bangladesh,121190,kg,1064985,1064985,1777659.056
C,M,2020,1,202001,India,Export,Belgium,121190,kg,68201.353,68201.353,237811.02
C,M,2020,1,202001,India,Export,Bhutan,121190,kg,100,100,192.885
C,M,2020,1,202001,India,Export,Bolivia (Plurinational State of),121190,kg,900,900,13678.659
C,M,2020,1,202001,India,Export,Brazil,121190,kg,56300,56300,56843.27
C,M,2020,1,202001,India,Export,Bulgaria,121190,kg,6700,6700,31453.107
C,M,2020,1,202001,India,Export,Myanmar,121190,kg,26000,26000,13956.196
C,M,2020,1,202001,India,Export,Cameroon,121190,kg,4,4,2741.471
C,M,2020,1,202001,India,Export,Canada,121190,kg,53457,53457,131020.877
C,M,2020,1,202001,India,Export,Sri Lanka,121190,kg,100850,100850,176040.26
C,M,2020,1,202001,India,Export,Chile,121190,kg,20700,20700,32351.023
C,M,2020,1,202001,India,Export,China,121190,kg,839745,839745,1069996.304
C,M,2020,1,202001,India,Export,Colombia,121190,kg,22000,22000,22070.064
C,M,2020,1,202001,India,Export,Dem. Rep. of the Congo,121190,kg,10,10,40.055
C,M,2020,1,202001,India,Export,Croatia,121190,kg,300,300,1015.655
C,M,2020,1,202001,India,Export,Czechia,121190,kg,11325,11325,64376.043
C,M,2020,1,202001,India,Export,Denmark,121190,kg,50000,50000,261498.527
C,M,2020,1,202001,India,Export,Ecuador,121190,kg,2125,2125,11297.077
C,M,2020,1,202001,India,Export,Ethiopia,121190,kg,38000,38000,26179.565
