typeCode,freqCode,refYear,refMonth,period,reporterDesc,flowDesc,partnerDesc,cmdCode,cmdDesc,qtyUnitAbbr,qty,netWgt,primaryValue
C,M,2022,1,202201,India,Export,World,91030,Spices; turmeric (curcuma),kg,10591826,10591826,17634522.16
C,M,2022,1,202201,India,Export,Algeria,91030,Spices; turmeric (curcuma),kg,147000,147000,155474.702
C,M,2022,1,202201,India,Export,Angola,91030,Spices; turmeric (curcuma),kg,20,20,63.964
C,M,2022,1,202201,India,Export,Argentina,91030,Spices; turmeric (curcuma),kg,12000,12000,14388.592
C,M,2022,1,202201,India,Export,Australia,91030,Spices; turmeric (curcuma),kg,60323,60323,418827.595
C,M,2022,1,202201,India,Export,Bahrain,91030,Spices; turmeric (curcuma),kg,86387,86387,109874.407
C,M,2022,1,202201,India,Export,Bangladesh,91030,Spices; turmeric (curcuma),kg,684880,684880,748387.228
C,M,2022,1,202201,India,Export,Belgium,91030,Spices; turmeric (curcuma),kg,54325,54325,170892.92
C,M,2022,1,202201,India,Export,Bhutan,91030,Spices; turmeric (curcuma),kg,3001,3001,13959.234
C,M,2022,1,202201,India,Export,Brazil,91030,Spices; turmeric (curcuma),kg,80800,80800,101623.453
C,M,2022,1,202201,India,Export,Brunei Darussalam,91030,Spices; turmeric (curcuma),kg,315,315,1401.414
C,M,2022,1,202201,India,Export,Cambodia,91030,Spices; turmeric (curcuma),kg,92,92,287.286
C,M,2022,1,202201,India,Export,Canada,91030,Spices; turmeric (curcuma),kg,183121,183121,382626.191
C,M,2022,1,202201,India,Export,Sri Lanka,91030,Spices; turmeric (curcuma),kg,6620,6620,3311.316
C,M,2022,1,202201,India,Export,Chile,91030,Spices; turmeric (curcuma),kg,26000,26000,26945.914
C,M,2022,1,202201,India,Export,China,91030,Spices; turmeric (curcuma),kg,7980,7980,18256.36
C,M,2022,1,202201,India,Export,Colombia,91030,Spices; turmeric (curcuma),kg,28000,28000,32487.836
C,M,2022,1,202201,India,Export,Congo,91030,Spices; turmeric (curcuma),kg,39,39,150.077
C,M,2022,1,202201,India,Export,Dem. Rep. of the Congo,91030,Spices; turmeric (curcuma),kg,150,150,329.907
C,M,2022,1,202201,India,Export,Denmark,91030,Spices; turmeric (curcuma),kg,780,780,1544.99
C,M,2022,1,202201,India,Export,Fiji,91030,Spices; turmeric (curcuma),kg,500,500,796.364
C,M,2022,1,202201,India,Export,France,91030,Spices; turmeric (curcuma),kg,71901,71901,113984.76
C,M,2022,1,202201,India,Export,Djibouti,91030,Spices; turmeric (curcuma),kg,500,500,445.584
C,M,2022,1,202201,India,Export,Georgia,91030,Spices; turmeric (curcuma),kg,18000,18000,25312.889
C,M,2022,1,202201,India,Export,Germany,91030,Spices; turmeric (curcuma),kg,137365,137365,618616.573
C,M,2022,1,202201,India,Export,Greece,91030,Spices; turmeric (curcuma),kg,13025,13025,16872.636
C,M,2022,1,202201,India,Export,Guatemala,91030,Spices; turmeric (curcuma),kg,16000,16000,24148.243
C,M,2022,1,202201,India,Export,Guinea,91030,Spices; turmeric (curcuma),kg,120,120,304.574
C,M,2022,1,202201,India,Export,"China, Hong Kong SAR",91030,Spices; turmeric (curcuma),kg,550,550,1405.954
C,M,2022,1,202201,India,Export,Indonesia,91030,Spices; turmeric (curcuma),kg,276550,276550,434794.126
C,M,2022,1,202201,India,Export,Iran,91030,Spices; turmeric (curcuma),kg,188000,188000,224011.017
C,M,2022,1,202201,India,Export,Iraq,91030,Spices; turmeric (curcuma),kg,344000,344000,332878.484
C,M,2022,1,202201,India,Export,Ireland,91030,Spices; turmeric (curcuma),kg,44,44,273.559
C,M,2022,1,202201,India,Export,Israel,91030,Spices; turmeric (curcuma),kg,151800,151800,201410.894
C,M,2022,1,202201,India,Export,Italy,91030,Spices; turmeric (curcuma),kg,5420,5420,24067.556
C,M,2022,1,202201,India,Export,Côte d'Ivoire,91030,Spices; turmeric (curcuma),kg,34000,34000,64454.841
C,M,2022,1,202201,India,Export,Jamaica,91030,Spices; turmeric (curcuma),kg,25000,25000,38308.435
C,M,2022,1,202201,India,Export,Japan,91030,Spices; turmeric (curcuma),kg,445068,445068,965749.784
C,M,2022,1,202201,India,Export,Kazakhstan,91030,Spices; turmeric (curcuma),kg,232,232,324.843
C,M,2022,1,202201,India,Export,Jordan,91030,Spices; turmeric (curcuma),kg,117548,117548,131634.35
C,M,2022,1,202201,India,Export,Kenya,91030,Spices; turmeric (curcuma),kg,14329,14329,21861.598
C,M,2022,1,202201,India,Export,Rep. of Korea,91030,Spices; turmeric (curcuma),kg,26430,26430,197776.925
C,M,2022,1,202201,India,Export,Kuwait,91030,Spices; turmeric (curcuma),kg,123019,123019,178113.55
C,M,2022,1,202201,India,Export,Kyrgyzstan,91030,Spices; turmeric (curcuma),kg,40,40,158.284
C,M,2022,1,202201,India,Export,Lebanon,91030,Spices; turmeric (curcuma),kg,11000,11000,14638.147
C,M,2022,1,202201,India,Export,Latvia,91030,Spices; turmeric (curcuma),kg,11000,11000,12630.259
C,M,2022,1,202201,India,Export,Liberia,91030,Spices; turmeric (curcuma),kg,50,50,104.771
C,M,2022,1,202201,India,Export,Libya,91030,Spices; turmeric (curcuma),kg,550500,550500,735302.695
C,M,2022,1,202201,India,Export,Madagascar,91030,Spices; turmeric (curcuma),kg,252,252,628.194
C,M,2022,1,202201,India,Export,Malaysia,91030,Spices; turmeric (curcuma),kg,913058,913058,1263243.175
C,M,2022,1,202201,India,Export,Maldives,91030,Spices; turmeric (curcuma),kg,1685,1685,3095.394
C,M,2022,1,202201,India,Export,Mauritius,91030,Spices; turmeric (curcuma),kg,41024,41024,49560.476
C,M,2022,1,202201,India,Export,Mexico,91030,Spices; turmeric (curcuma),kg,45000,45000,62425.77
C,M,2022,1,202201,India,Export,"Other Asia, nes",91030,Spices; turmeric (curcuma),kg,35226,35226,58841.433
C,M,2022,1,202201,India,Export,Mongolia,91030,Spices; turmeric (curcuma),kg,555,555,1012.447
C,M,2022,1,202201,India,Export,Morocco,91030,Spices; turmeric (curcuma),kg,724175,724175,883485.523
C,M,2022,1,202201,India,Export,Mozambique,91030,Spices; turmeric (curcuma),kg,1150,1150,2308.701
C,M,2022,1,202201,India,Export,Oman,91030,Spices; turmeric (curcuma),kg,70835,70835,101062.016
C,M,2022,1,202201,India,Export,Nepal,91030,Spices; turmeric (curcuma),kg,370039,370039,462143.192
C,M,2022,1,202201,India,Export,Netherlands,91030,Spices; turmeric (curcuma),kg,118431,118431,207230.74
C,M,2022,1,202201,India,Export,New Zealand,91030,Spices; turmeric (curcuma),kg,4613,4613,9056.452
C,M,2022,1,202201,India,Export,Nigeria,91030,Spices; turmeric (curcuma),kg,1312,1312,6657.984
C,M,2022,1,202201,India,Export,Norway,91030,Spices; turmeric (curcuma),kg,300,300,514.074
C,M,2022,1,202201,India,Export,Panama,91030,Spices; turmeric (curcuma),kg,3000,3000,5145.903
C,M,2022,1,202201,India,Export,Philippines,91030,Spices; turmeric (curcuma),kg,10725,10725,22967.263
C,M,2022,1,202201,India,Export,Poland,91030,Spices; turmeric (curcuma),kg,22924,22924,35754.154
C,M,2022,1,202201,India,Export,Qatar,91030,Spices; turmeric (curcuma),kg,214113,214113,276732.785
C,M,2022,1,202201,India,Export,Russian Federation,91030,Spices; turmeric (curcuma),kg,193925,193925,215268.621
C,M,2022,1,202201,India,Export,Saudi Arabia,91030,Spices; turmeric (curcuma),kg,229556,229556,304722.591
C,M,2022,1,202201,India,Export,Senegal,91030,Spices; turmeric (curcuma),kg,4100,4100,5787.206
C,M,2022,1,202201,India,Export,Seychelles,91030,Spices; turmeric (curcuma),kg,2154,2154,3802.797
C,M,2022,1,202201,India,Export,Singapore,91030,Spices; turmeric (curcuma),kg,4328,4328,8430.636
C,M,2022,1,202201,India,Export,Viet Nam,91030,Spices; turmeric (curcuma),kg,43500,43500,81650.668
C,M,2022,1,202201,India,Export,Slovenia,91030,Spices; turmeric (curcuma),kg,18000,18000,26710.462
C,M,2022,1,202201,India,Export,South Africa,91030,Spices; turmeric (curcuma),kg,254828,254828,403754.905
C,M,2022,1,202201,India,Export,Spain,91030,Spices; turmeric (curcuma),kg,204097,204097,279562.989
C,M,2022,1,202201,India,Export,Sweden,91030,Spices; turmeric (curcuma),kg,2000,2000,5378.01
C,M,2022,1,202201,India,Export,Switzerland,91030,Spices; turmeric (curcuma),kg,525,525,3104.394
C,M,2022,1,202201,India,Export,Togo,91030,Spices; turmeric (curcuma),kg,44,44,268.267
C,M,2022,1,202201,India,Export,Trinidad and Tobago,91030,Spices; turmeric (curcuma),kg,11500,11500,16754.46
C,M,2022,1,202201,India,Export,United Arab Emirates,91030,Spices; turmeric (curcuma),kg,1204373,1204373,1385097.901
C,M,2022,1,202201,India,Export,Tunisia,91030,Spices; turmeric (curcuma),kg,555000,555000,551915.919
C,M,2022,1,202201,India,Export,Türkiye,91030,Spices; turmeric (curcuma),kg,80000,80000,101414.798
C,M,2022,1,202201,India,Export,Ukraine,91030,Spices; turmeric (curcuma),kg,17200,17200,24229.01
C,M,2022,1,202201,India,Export,Egypt,91030,Spices; turmeric (curcuma),kg,406400,406400,519594.373
C,M,2022,1,202201,India,Export,United Kingdom,91030,Spices; turmeric (curcuma),kg,290309,290309,417567.312
C,M,2022,1,202201,India,Export,United Rep. of Tanzania,91030,Spices; turmeric (curcuma),kg,2147,2147,4024.709
C,M,2022,1,202201,India,Export,USA,91030,Spices; turmeric (curcuma),kg,480099,480099,3189951.355
C,M,2022,1,202201,India,Export,Uzbekistan,91030,Spices; turmeric (curcuma),kg,3000,3000,4286.945
C,M,2022,1,202201,India,Export,Yemen,91030,Spices; turmeric (curcuma),kg,42500,42500,48163.078
C,M,2022,2,202202,India,Export,World,91030,Spices; turmeric (curcuma),kg,10403474.46,10403474.46,17730440.54
C,M,2022,2,202202,India,Export,Algeria,91030,Spices; turmeric (curcuma),kg,330500,330500,379896.766
C,M,2022,2,202202,India,Export,Angola,91030,Spices; turmeric (curcuma),kg,14,14,27.495
C,M,2022,2,202202,India,Export,Argentina,91030,Spices; turmeric (curcuma),kg,3000,3000,3935.63
C,M,2022,2,202202,India,Export,Australia,91030,Spices; turmeric (curcuma),kg,95503,95503,171252.805
C,M,2022,2,202202,India,Export,Austria,91030,Spices; turmeric (curcuma),kg,100,100,372.986
C,M,2022,2,202202,India,Export,Bahrain,91030,Spices; turmeric (curcuma),kg,44139,44139,58261.354
C,M,2022,2,202202,India,Export,Bangladesh,91030,Spices; turmeric (curcuma),kg,745400,745400,860476.269
